# RCA Studio II CRC16-CCITT inventory
# Polynomial: 0x1021; initial value: 0xFFFF; input: exact file bytes
# Scan root: folder containing this script
# Files: 480
#
CRC16	Bytes	Extension	Relative path
2526	1280	.st2	StudioII-Cartridges\baseball.st2
DA69	1280	.st2	StudioII-Cartridges\biorhythm.st2
C8B4	1280	.st2	StudioII-Cartridges\blackjack.st2
CEC2	768	.st2	StudioII-Cartridges\fun-with-numbers.st2
043E	1280	.st2	StudioII-Cartridges\gunfighter.st2
B2FF	1280	.st2	StudioII-Cartridges\mathfun.st2
3EAF	1280	.st2	StudioII-Cartridges\RCA_demo.st2
9D0D	768	.st2	StudioII-Cartridges\school.st2
45B5	768	.st2	StudioII-Cartridges\spacewar.st2
8404	768	.st2	StudioII-Cartridges\speedway.st2
FB76	768	.st2	StudioII-Cartridges\tennis.st2
2B4D	1792	.st2	StudioII-Homebrew\asteroids.st2
E080	1792	.st2	StudioII-Homebrew\berzerk.st2
1139	1280	.st2	StudioII-Homebrew\Climber.st2
D87F	1280	.st2	StudioII-Homebrew\combat.st2
EE76	768	.st2	StudioII-Homebrew\computer.st2
F7A3	1280	.st2	StudioII-Homebrew\fifteen.st2
D5DE	1280	.st2	StudioII-Homebrew\hockey.st2
0D1D	1280	.st2	StudioII-Homebrew\invaders.st2
8551	1280	.st2	StudioII-Homebrew\kaboom.st2
BE58	1280	.st2	StudioII-Homebrew\outbreak.st2
E00A	1792	.st2	StudioII-Homebrew\pacman.st2
47EA	2816	.st2	StudioII-Homebrew\race.st2
D2F0	512	.st2	StudioII-Homebrew\rocket.st2
1280	1792	.st2	StudioII-Homebrew\scramble.st2
4B55	1280	.st2	StudioII-Homebrew\tv-arcade-2012.st2
FC34	1280	.st2	StudioII-Sarnoff-Collection\game_pack.st2
68C5	1280	.st2	StudioII-Sarnoff-Collection\gunfight [AUD_2464_09_B41_ID17_02].st2
670D	1280	.st2	StudioII-Sarnoff-Collection\new_studio_2-5_game_set [AUD_2464_09_B41_ID03_01].st2
0C89	1280	.st2	StudioII-Sarnoff-Collection\numbers [AUD_2464_09_B41_ID12_01].st2
0704	1280	.st2	StudioII-Sarnoff-Collection\secret Number [AUD_2464_09_B41_ID08_02].st2
DD89	768	.st2	StudioII-Sarnoff-Collection\spacewar-2.st2
0E3C	768	.st2	StudioII-Sarnoff-Collection\spacewar-3.st2
EBF4	2304	.st2	Visicom-Cartridges\cas-110-arithmetic_drill.st2
0192	2304	.st2	Visicom-Cartridges\cas-130-sports_fan.st2
5433	2304	.st2	Visicom-Cartridges\cas-140-gambler_i.st2
2F1A	2304	.st2	Visicom-Cartridges\cas-141-gambler_ii.st2
BF97	2304	.st2	Visicom-Cartridges\cas-160-space_command.st2
E4C4	2304	.st2	Visicom-Cartridges\cas-190-bagua-blood-horoscope.st2
